Open Time (ET),Close Time (ET),Trading Date,Direction,Entry Price,Exit Price,Profit/Loss,Status,Duration (min),Is Quick Stop,ADX,Plus DI,Minus DI,Trend Direction,Trend Strength,Is Strong Trend,Is Golden Cross,Is Death Cross,Keltner Upper,Keltner Middle,Keltner Lower,Entry vs Keltner,Bollinger Upper,Bollinger Lower,BB Bandwidth,Is Squeezing,Volatility Level,ATR
2025-01-29 13:04:01,2025-01-29 13:25:00,2025-01-29,Short,6048.75,6067.00,-912.50,Loss,20,false,62.89,5.71,50.97,Down,Very Strong,true,false,true,6075.13,6069.50,6063.87,Below Lower,6086.53,6052.47,0.0056,true,Normal,3.75
2025-01-29 14:04:01,2025-01-29 14:33:00,2025-01-29,Short,6056.25,6060.00,-187.50,Loss,28,false,36.41,8.39,38.13,Down,Strong,true,false,true,6072.09,6065.28,6058.46,Below Lower,6076.68,6053.87,0.0038,true,Normal,4.54
2025-01-29 14:33:01,2025-01-29 14:37:00,2025-01-29,Long,6060.00,6046.75,-662.50,Loss,3,true,36.59,26.08,15.18,Up,Strong,true,true,false,6056.20,6048.55,6040.90,Above Upper,6056.89,6040.21,0.0028,true,Normal,5.10
2025-01-29 14:41:01,2025-01-29 15:04:00,2025-01-29,Long,6075.75,6064.25,-575.00,Loss,22,false,37.93,38.78,12.08,Up,Strong,true,true,false,6064.60,6054.03,6043.45,Above Upper,6073.76,6034.29,0.0065,true,Normal,7.05
2025-01-29 15:24:01,2025-01-29 15:39:00,2025-01-29,Long,6079.75,6071.75,-400.00,Loss,14,true,20.31,27.18,17.99,Doji,Weak,false,true,false,6077.99,6068.85,6059.71,Above Upper,6080.93,6056.77,0.0040,true,Low,6.09
2025-01-29 15:48:01,2025-01-29 15:58:00,2025-01-29,Short,6066.75,6071.50,-237.50,Loss,9,true,38.94,13.08,21.69,Down,Strong,true,false,true,6082.18,6074.83,6067.47,Below Lower,6087.69,6061.96,0.0042,true,Normal,4.90
2025-01-30 09:56:01,2025-01-30 10:02:32,2025-01-30,Long,6107.00,6093.00,-700.00,Loss,6,true,32.95,34.43,18.30,Up,Strong,true,true,false,6104.84,6099.58,6094.31,Above Upper,6112.68,6086.47,0.0043,true,Normal,3.51
2025-01-30 10:04:01,2025-01-30 10:40:00,2025-01-30,Short,6083.75,6086.75,-150.00,Loss,35,false,30.94,16.49,36.38,Down,Strong,true,false,true,6107.31,6099.94,6092.57,Below Lower,6114.54,6085.34,0.0048,true,Normal,4.91
2025-01-30 10:56:01,2025-01-30 11:23:00,2025-01-30,Short,6068.50,6069.50,-50.00,Loss,26,false,35.98,11.46,40.58,Down,Strong,true,false,true,6086.18,6080.69,6075.20,Below Lower,6092.44,6068.93,0.0039,true,Normal,3.66
2025-01-30 11:26:01,2025-01-30 12:17:02,2025-01-30,Long,6076.25,6077.81,77.87,Profit,51,false,29.03,30.39,17.26,Up,Strong,true,true,false,6071.16,6065.75,6060.34,Above Upper,6075.66,6055.84,0.0033,true,Normal,3.61
2025-01-30 15:40:01,2025-01-30 15:56:00,2025-01-30,Short,6086.50,6104.00,-875.00,Loss,15,false,42.34,6.35,57.29,Down,Strong,true,false,true,6114.50,6108.33,6102.15,Below Lower,6128.57,6088.08,0.0066,true,Normal,4.12
2025-01-30 15:56:01,2025-01-30 15:58:00,2025-01-30,Long,6104.00,6098.00,-300.00,Loss,1,true,44.15,24.08,16.96,Up,Strong,true,true,false,6097.52,6087.79,6078.05,Above Upper,6107.17,6068.41,0.0064,true,Normal,6.49
2025-01-31 13:26:01,2025-01-31 15:58:00,2025-01-31,Short,6121.75,6069.75,2600.00,Profit,151,false,46.99,7.96,40.28,Down,Strong,true,false,true,6139.10,6133.19,6127.27,Below Lower,6148.34,6118.04,0.0049,true,Normal,3.94
2025-02-03 09:33:01,2025-02-03 09:49:00,2025-02-03,Long,5984.50,5973.00,-575.00,Loss,15,false,25.39,36.43,10.70,Up,Strong,true,true,false,5976.30,5969.83,5963.35,Above Upper,5981.42,5958.23,0.0039,true,Normal,4.32
2025-02-03 09:54:01,2025-02-03 10:23:00,2025-02-03,Short,5962.75,5974.50,-587.50,Loss,28,false,35.87,12.44,25.61,Down,Strong,true,false,true,5985.08,5976.79,5968.50,Below Lower,5990.46,5963.12,0.0046,true,Normal,5.53
2025-02-03 10:23:01,2025-02-03 12:38:01,2025-02-03,Long,5974.50,6010.38,1793.85,Profit,135,false,21.01,40.43,14.36,Doji,Weak,false,true,false,5969.35,5959.99,5950.62,Above Upper,5973.49,5946.48,0.0045,true,Normal,6.24
2025-02-03 12:41:01,2025-02-03 12:52:00,2025-02-03,Short,6011.25,6020.00,-437.50,Loss,10,true,38.05,11.37,25.02,Down,Strong,true,false,true,6025.87,6019.59,6013.30,Below Lower,6033.63,6005.55,0.0047,true,Normal,4.19
2025-02-04 10:03:01,2025-02-04 11:50:07,2025-02-04,Long,6041.75,6054.33,629.21,Profit,107,false,30.86,33.00,11.14,Up,Strong,true,true,false,6037.91,6032.73,6027.54,Above Upper,6043.31,6022.14,0.0035,true,Normal,3.46
2025-02-05 10:05:01,2025-02-05 10:23:00,2025-02-05,Short,6031.50,6044.50,-650.00,Loss,17,false,34.64,22.94,35.09,Down,Strong,true,false,true,6052.23,6045.51,6038.79,Below Lower,6057.78,6033.25,0.0041,true,Normal,4.48
2025-02-05 10:28:01,2025-02-05 11:01:00,2025-02-05,Long,6048.00,6049.25,62.50,Profit,32,false,25.94,26.58,16.21,Up,Strong,true,true,false,6047.38,6041.74,6036.10,Above Upper,6049.46,6034.02,0.0026,true,Normal,3.76
2025-02-07 10:02:01,2025-02-07 13:15:18,2025-02-07,Short,6104.00,6077.94,1303.15,Profit,193,false,34.38,6.32,51.05,Down,Strong,true,false,true,6124.63,6117.55,6110.47,Below Lower,6130.63,6104.47,0.0043,true,Normal,4.72
2025-02-12 09:47:01,2025-02-12 10:04:00,2025-02-12,Long,6048.25,6040.50,-387.50,Loss,16,false,41.90,34.42,8.47,Up,Strong,true,true,false,6042.23,6037.06,6031.89,Above Upper,6049.53,6024.59,0.0041,true,Normal,3.45
2025-02-12 10:04:01,2025-02-12 10:19:00,2025-02-12,Short,6040.50,6049.25,-437.50,Loss,14,true,52.87,14.00,28.68,Down,Very Strong,true,false,true,6053.92,6048.46,6043.01,Below Lower,6057.61,6039.31,0.0030,true,Normal,3.64
2025-02-12 10:20:01,2025-02-12 11:09:00,2025-02-12,Long,6051.00,6053.00,100.00,Profit,48,false,47.94,27.33,15.97,Up,Strong,true,true,false,6048.23,6042.13,6036.02,Above Upper,6050.80,6033.45,0.0029,true,Normal,4.07
2025-02-12 11:13:01,2025-02-12 11:38:00,2025-02-12,Short,6048.50,6052.25,-187.50,Loss,24,false,43.69,10.24,28.78,Down,Strong,true,false,true,6062.85,6057.58,6052.30,Below Lower,6067.10,6048.05,0.0031,true,Normal,3.52
2025-02-20 10:01:01,2025-02-20 10:19:00,2025-02-20,Short,6108.50,6123.50,-750.00,Loss,17,false,59.93,3.31,54.74,Down,Very Strong,true,false,true,6136.32,6130.10,6123.88,Below Lower,6150.88,6109.32,0.0068,true,Normal,4.15
2025-02-21 14:32:01,2025-02-21 14:53:00,2025-02-21,Short,6031.75,6036.00,-212.50,Loss,20,false,46.05,9.44,29.10,Down,Strong,true,false,true,6044.64,6039.10,6033.56,Below Lower,6052.61,6025.59,0.0045,true,Normal,3.69
2025-02-24 09:50:01,2025-02-24 11:25:38,2025-02-24,Short,6035.75,6023.03,635.81,Profit,95,false,36.82,9.99,33.83,Down,Strong,true,false,true,6048.79,6043.36,6037.94,Below Lower,6055.50,6031.22,0.0040,true,Normal,3.62
2025-02-24 15:55:01,2025-02-24 15:58:00,2025-02-24,Short,6004.25,6000.25,200.00,Profit,2,true,40.73,8.81,41.67,Down,Strong,true,false,true,6022.48,6016.96,6011.45,Below Lower,6029.59,6004.33,0.0042,true,Normal,3.68
2025-02-25 09:50:01,2025-02-25 11:51:04,2025-02-25,Short,5988.50,5954.18,1715.93,Profit,121,false,17.43,16.65,24.68,Doji,Weak,false,false,true,6004.41,5997.33,5990.24,Below Lower,6009.66,5984.99,0.0041,true,Normal,4.72
2025-02-25 11:57:01,2025-02-25 12:22:00,2025-02-25,Long,5956.75,5951.50,-262.50,Loss,24,false,45.12,45.34,11.15,Up,Strong,true,true,false,5952.70,5946.16,5939.62,Above Upper,5961.89,5930.43,0.0053,true,Normal,4.36
2025-02-25 13:40:01,2025-02-25 13:57:00,2025-02-25,Long,5984.75,5977.75,-350.00,Loss,16,false,29.68,36.55,16.03,Up,Strong,true,true,false,5979.46,5973.89,5968.31,Above Upper,5985.41,5962.37,0.0039,true,Normal,3.72
